@relation train_feature_out-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute 24 numeric
@attribute 25 numeric
@attribute 26 numeric
@attribute 27 numeric
@attribute 28 numeric
@attribute 29 numeric
@attribute 30 numeric
@attribute 31 numeric
@attribute 32 numeric
@attribute 33 numeric
@attribute 34 numeric
@attribute 35 numeric
@attribute 36 numeric
@attribute 37 numeric
@attribute 38 numeric
@attribute 39 numeric
@attribute 40 numeric
@attribute 41 {1,2,}

@data
0.72269,0.69059,0.92044,1,0.70599,0.52906,0.63398,0.56408,0.46597,0.43278,0.43658,0.36594,0.3056,0.2564,0.16252,0.27202,0.19888,0.14464,0.04865,0,0.86173,0.91144,0.5492,0,0.8008,0.75366,0.67585,0.78505,0.866,0.70693,0.58655,0.56739,0.82211,0.67224,0.22592,0.799,1,0.91071,0.74985,0.72277,1
0.46602,0.88754,1,0.89998,0.78739,0.80342,0.90906,0.66086,0.60602,0.51242,0.42962,0.35497,0.3321,0.28784,0.18138,0.20292,0.18729,0.096058,0.014871,0,0.61339,0.32736,0.058083,0,1,0.2313,0.67852,0.85753,0.48675,0.83936,0.53961,0.61391,0.49837,0.51114,0.47733,0.48351,0.12461,0.080666,0.073779,0.53417,1
0.2493,0.68161,1,0.98209,0.23281,0.91996,0.83191,0.48363,0.64331,0.48963,0.4867,0.50195,0.41071,0.49294,0.28455,0.32615,0.084624,0.074528,0,0.0088827,0.57287,0.49236,0.71217,0.84232,0,0.4924,0.55967,0.25576,0.37384,1,0.97629,0.94974,0.72631,0.72441,0.5732,0.59135,0.75448,0.64909,0.59388,0.69716,1
0.31328,0.78806,0.89327,0.75921,0.8015,1,0.88191,0.82392,0.90344,0.51093,0.48214,0.26716,0.22989,0.31402,0.37476,0.29139,0.17294,0.0036893,0,0.030741,0,0.79535,0.82031,0.79716,0.48778,0.55568,0.55378,0.79123,0.86478,1,0.85995,0.45209,0.57785,0.26806,0.48973,0.10677,0.75823,0.78556,0.60745,0.21229,1
0.93672,1,0.90119,0.86391,0.84754,0.76922,0.70237,0.75655,0.6902,0.42575,0.45712,0.41273,0.2977,0.31295,0.19989,0.28438,0.27476,0.2664,0.12435,0,0.54057,0.45475,0.42159,0.9266,0.87176,0.88418,1,0.80426,0.89764,0.82113,0.68347,0.43865,0.12288,0.51373,0,0.11431,0.58141,0.75058,0.37985,0.25693,1
0.22267,0.7633,1,0.93619,0.60245,0.80177,0.72678,0.5259,0.49468,0.29937,0.28598,0.16205,0.11937,0.096586,0.063208,0.069422,0.11589,0.11385,0.03385,0,0.79239,0.29809,0.5671,0.31694,1,0.87226,0,0.30489,0.76381,0.71103,0.84023,0.78971,0.15252,0.29612,0.3746,0.42516,0.87568,0.80724,0.79868,0.69053,1
0.2857,0.75501,1,0.96071,0.43219,0.78377,0.64771,0.35371,0.80692,0.72202,0.64522,0.69501,0.42165,0.44816,0.16147,0.13209,0.043117,0.060138,0,0.034484,0.45028,0.35889,0.061898,0,0.71867,0.39342,0.30701,0.34436,0.14255,0.27935,0.90169,0.82672,1,0.96417,0.85543,0.82456,0.52293,0.81463,0.48393,0.33615,1
0.72147,0.77579,0.95531,1,0.44174,0.51898,0.48139,0.35634,0.38267,0.33476,0.30661,0.28603,0.24753,0.1832,0.034541,0.10244,0.08493,0.12814,0.076981,0,1,0.61909,0,0.15927,0.73262,0.16246,0.28193,0.57288,0.56111,0.70917,0.71671,0.90356,0.88885,0.84864,0.85797,0.046753,0.56202,0.63726,0.68944,0.8471,1
1,0.73445,0.62719,0.74906,0.48579,0.37815,0.42399,0.48394,0.36485,0.23455,0.23043,0.21078,0.48147,0.42883,0.071867,0.14359,0.08825,0.0024554,0.00020383,0,0.43071,0.68592,0.3991,0.71137,0.58716,0.28598,0.19569,0.45607,0.58383,0.52024,0.37113,0.40605,0.59131,0.57055,0,0.68952,1,0.3289,0.81811,0.19321,1
1,0.71944,0.64244,0.7862,0.58383,0.41359,0.43622,0.42128,0.34403,0.26597,0.26805,0.21059,0.43332,0.3715,0.132,0.17974,0.090676,0.064926,0,0.10363,0.35257,0.83395,0.34637,0.70916,0.22722,0.33027,0.17347,0.38073,0.77492,0.45312,0.23488,0.26319,0.57246,1,0.24651,0,0.010986,0.21938,0.61369,0.45023,1
0.8929,0.6593,0.68179,1,0.7636,0.57775,0.51222,0.65358,0.62966,0.36301,0.32279,0.36016,0.32804,0.27788,0.0029199,0.15151,0.10683,0.10233,0,0.0053327,0.19634,0.16539,0.12161,0.35349,0.41785,0.7213,0,0.56939,0.83494,1,0.81532,0.68803,0.84567,0.69939,0.79715,0.83255,0.64786,0.77143,0.82011,0.92556,1
0.16975,0.32305,0.71657,1,0.71183,0.63504,0.71543,0.77198,0.71394,0.67159,0.65723,0.39445,0.41942,0.42824,0.27676,0.2748,0.26738,0.10772,0.028657,0,0.82383,0.29438,0,0.30068,0.91345,0.19958,0.026541,0.60377,0.60691,0.29688,0.65559,0.53278,0.54062,0.87042,1,0.14476,0.22243,0.35311,0.4256,0.62629,1
0.22195,0.52936,0.93438,1,0.54803,0.57505,0.70697,0.54428,0.39742,0.47183,0.35508,0.23088,0.18561,0.085611,0.11435,0.23943,0.17952,0.14054,0.042284,0,0.18657,0.33813,0.3353,0.28816,0.019311,0.748,0.78331,0.40449,0.6334,1,0.39808,0.23779,0.7219,0.080637,0.33333,0.39842,0.11539,0.24117,0,0.45441,1
1,0.81921,0.86499,0.96634,0.75145,0.52334,0.51686,0.50609,0.4547,0.36785,0.35736,0.31197,0.50525,0.42878,0.22592,0.24311,0.18227,0.18631,0.10537,0,0.40238,0.69798,0.30134,0.10284,0.54032,0.63677,0.77464,0.69281,0.56397,0.56333,0.030988,0.72476,0.14885,0.66423,0.35476,1,0,0.70533,0.38901,0.034911,1
1,0.84329,0.83999,0.94363,0.67074,0.50543,0.54108,0.52166,0.47198,0.32738,0.33787,0.2999,0.60199,0.53037,0.20415,0.24957,0.11926,0.16836,0,0.041577,0.79591,0.75704,0.94145,0.79344,0.99581,1,0.79513,0.22271,0.63484,0.77528,0.94269,0.84573,0.55532,0.67251,0.66621,0,0.55664,0.61745,0.59089,0.41565,1
1,0.78785,0.79125,0.98541,0.67294,0.55452,0.57393,0.68573,0.72293,0.38543,0.43813,0.47422,0.49583,0.44134,0.1377,0.19724,0.15598,0.10756,0,0.051398,0.90307,1,0.86279,0.40332,0,0.1145,0.78259,0.57517,0.38677,0.29579,0.54504,0.31343,0.63102,0.41152,0.34678,0.36383,0.23993,0.36392,0.73977,0.33025,1
0.09003,0.090996,0.5879,1,0.88295,0.30033,0.54401,0.70192,0.59729,0.60094,0.42962,0.45753,0.46141,0.31418,0.30241,0.31281,0.26375,0.24322,0.097644,0,0.29021,0.15342,0,0.2696,0.5246,0.40499,0.49249,0.58992,1,0.88963,0.62218,0.74545,0.65437,0.83403,0.63179,0.79201,0.8443,0.83144,0.3773,0.42238,1
0.82737,0.66979,0.7694,1,0.78311,0.52794,0.53768,0.53359,0.5142,0.36986,0.43405,0.42499,0.31179,0.23443,0,0.14296,0.15777,0.25184,0.14177,0.030814,0,1,0.14623,0.1221,0.19294,0.12981,0.75269,0.2143,0.21757,0.79979,0.47245,0.84035,0.72246,0.57637,0.54268,0.29253,0.7501,0.42413,0.25553,0.32656,1
0.32328,0.31038,0.71974,1,0.72319,0.48397,0.55515,0.6798,0.45844,0.41122,0.43235,0.37311,0.38099,0.29663,0.17156,0.20333,0.2223,0.22117,0.14788,0,0.52742,0.16756,0.069258,0.34112,0.43317,0.23383,0.017082,0.31856,0.89915,0.60819,0.36799,0.45826,0.59874,1,0.38383,0.42236,0.61949,0.038674,0,0.34161,1
