@relation feature_out-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute 24 numeric
@attribute 25 numeric
@attribute 26 numeric
@attribute 27 numeric
@attribute 28 numeric
@attribute 29 numeric
@attribute 30 numeric
@attribute 31 numeric
@attribute 32 numeric
@attribute 33 numeric
@attribute 34 numeric
@attribute 35 numeric
@attribute 36 numeric
@attribute 37 numeric
@attribute 38 numeric
@attribute 39 numeric
@attribute 40 numeric
@attribute 41 numeric
@attribute 42 numeric
@attribute 43 numeric
@attribute 44 numeric
@attribute 45 numeric
@attribute 46 numeric
@attribute 47 numeric
@attribute 48 numeric
@attribute 49 {1,2,}

@data
0.011321,0.043429,0.058748,0.056947,0.071984,0.076785,0.068147,0.067332,0.063909,0.055756,0.064221,0.080661,0.081228,0.075545,0.075386,0.069562,0.047352,0.06553,0.069097,0.059699,0.058227,0.071125,0.061296,0.069651,0.074204,0.071522,0.07032,0.060715,0.058445,0.059257,0.071998,0.069911,0.057317,0.06373,0.08044,0.061796,0.063568,0.058697,0.0477,0.056681,1.4793,1.6376,1.3677,1.6875,1.6371,1.7746,1.508,1.3612,1
0.0081122,0.02693,0.03846,0.056212,0.065246,0.072776,0.066596,0.06145,0.061649,0.05579,0.075776,0.085696,0.07223,0.071399,0.081088,0.059204,0.044393,0.050307,0.059086,0.0457,0.041833,0.04455,0.054896,0.06229,0.052697,0.060367,0.037272,0.048261,0.051462,0.048174,0.066191,0.05171,0.037687,0.049808,0.073573,0.030097,0.039209,0.030278,0.026349,0.020821,1.2072,0.83203,0.93859,1.1649,1.0736,1.1811,1.1168,1.1088,1
0.012362,0.028606,0.039542,0.058076,0.060406,0.077217,0.066837,0.066275,0.063593,0.071704,0.080031,0.074836,0.061025,0.07926,0.081965,0.063213,0.04433,0.050377,0.059674,0.054922,0.047279,0.044629,0.06213,0.059167,0.048636,0.055271,0.043951,0.033311,0.060498,0.047501,0.056359,0.057933,0.019768,0.043454,0.073358,0.046669,0.033054,0.019083,0.024396,0.030598,0.98381,1.1744,1.1263,1.2214,1.1591,1.1219,1.1022,0.92924,1
0.019858,0.027235,0.056492,0.078173,0.08813,0.084033,0.07389,0.064559,0.073126,0.079757,0.081339,0.077162,0.054843,0.066547,0.069074,0.061104,0.059797,0.064463,0.061355,0.052154,0.053097,0.060153,0.053248,0.043533,0.04035,0.037547,0.029895,0.034126,0.036316,0.031904,0.047669,0.04677,0.036744,0.036458,0.027596,0.030465,0.024178,0.023136,0.015574,0.010631,1.0606,1.1835,0.95591,1.0223,1.0604,1.0411,1.0676,1.1054,1
0.015415,0.027245,0.045122,0.055112,0.052863,0.067917,0.064416,0.071777,0.083957,0.084574,0.077408,0.073499,0.059942,0.048494,0.050619,0.046913,0.051604,0.063836,0.070551,0.051958,0.02679,0.033595,0.054678,0.059472,0.051158,0.05155,0.048427,0.054147,0.04969,0.050065,0.044939,0.045693,0.04434,0.039992,0.039843,0.035247,0.023246,0.019832,0.019457,0.017201,1.0278,0.99636,0.97065,0.86585,1.0637,1.0459,0.98701,0.83364,1
0.012532,0.015896,0.012084,0.022028,0.026876,0.02944,0.03271,0.029625,0.040045,0.057846,0.077876,0.087156,0.08119,0.058109,0.040184,0.03581,0.037384,0.041012,0.039977,0.049663,0.057659,0.053985,0.0329,0.038667,0.040352,0.042699,0.048648,0.033379,0.025692,0.023063,0.036247,0.040415,0.033886,0.028589,0.019816,0.033494,0.019823,0.016702,0.016535,0.016703,0.54175,0.38441,0.62267,0.49357,0.47587,0.68644,0.73282,0.65579,1
0.01131,0.0087338,0.017776,0.024884,0.035093,0.040194,0.042678,0.060657,0.063538,0.054256,0.068332,0.087584,0.091996,0.070632,0.04134,0.032717,0.043957,0.054696,0.05679,0.063566,0.070935,0.060441,0.041772,0.050685,0.05021,0.052564,0.054895,0.042491,0.03995,0.038733,0.049476,0.052855,0.050785,0.044877,0.028835,0.034349,0.030241,0.029432,0.029813,0.028867,0.96118,0.81611,0.87655,0.9005,0.78509,0.98251,0.84023,0.80226,1
0.0082778,0.015822,0.01591,0.026312,0.028515,0.037954,0.048719,0.055611,0.062553,0.070452,0.085538,0.083339,0.069889,0.060319,0.050244,0.050482,0.048947,0.057987,0.062483,0.063436,0.059174,0.05582,0.054716,0.053491,0.047833,0.056812,0.047333,0.038827,0.04377,0.048425,0.046176,0.041268,0.047787,0.044106,0.048536,0.039483,0.029869,0.020171,0.024823,0.022126,0.7615,1.0839,0.95162,0.79412,1.0759,0.77984,0.81231,0.76842,1
0.085743,0.077112,0.07521,0.060265,0.064025,0.071734,0.061907,0.065865,0.064041,0.051707,0.049405,0.063615,0.059369,0.061807,0.063117,0.042719,0.050001,0.046316,0.044912,0.037463,0.03863,0.04105,0.047049,0.053697,0.036915,0.047193,0.048023,0.032613,0.026198,0.03176,0.048844,0.041605,0.040546,0.040701,0.036375,0.038562,0.046536,0.025364,0.030018,0.04094,0.9456,0.8074,0.86938,0.84036,1.0981,1.0907,0.97206,1.0626,2
0.046538,0.043228,0.064838,0.077402,0.063533,0.043258,0.039898,0.078862,0.092907,0.077924,0.040445,0.069396,0.080706,0.061041,0.057038,0.071229,0.061396,0.064022,0.071284,0.054935,0.043972,0.041674,0.066045,0.065516,0.05889,0.056895,0.042691,0.041427,0.038328,0.032855,0.033588,0.036246,0.045108,0.044209,0.047683,0.030748,0.03309,0.024862,0.016813,0.02462,1.0558,1.0532,1.0638,1.0941,1.2704,0.93615,1.1891,1.1151,2
