 % acoustic_params.win_size: 1024
 % acoustic_params.hop_size: 512
 % acoustic_params.min_freq: 86
 % acoustic_params.max_freq: 2000
 % acoustic_params.num_mel_filts: 20
 % acoustic_params.ITW: 1
@relation train_feature_1_4-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute 24 numeric
@attribute 25 numeric
@attribute 26 numeric
@attribute 27 numeric
@attribute 28 numeric
@attribute 29 numeric
@attribute 30 numeric
@attribute 31 numeric
@attribute 32 numeric
@attribute 33 numeric
@attribute 34 numeric
@attribute 35 numeric
@attribute 36 numeric
@attribute 37 numeric
@attribute 38 numeric
@attribute 39 numeric
@attribute 40 numeric
@attribute 41 {1,2,}

@data
0.33848,0.93462,1,0.7987,0.71128,0.85288,0.66423,0.86038,0.84615,0.34795,0.39827,0.29076,0.21439,0.17437,0.067716,0.086626,0.051747,0.052029,0.038631,0,0.71431,0.51127,0.44053,0.40842,0.68159,0.5714,0.68213,0.69588,0.60013,0.16698,0.5425,0.78799,1,0.96943,0.76139,0.50509,0.45557,0,0.31496,0.23894,1
0.40798,0.79651,1,0.96534,0.50774,0.74657,0.75005,0.6131,0.75354,0.64255,0.57183,0.58034,0.46967,0.3525,0.21569,0.15515,0.12901,0.08396,0.068377,0,0.97634,0.14707,0.028944,0,0.41773,0.6031,0.78233,0.73598,0.51382,0.83291,0.53858,0.57581,1,0.25407,0.34235,0.27173,0.11147,0.15688,0.11466,0.14725,1
1,0.84584,0.85459,0.92516,0.58262,0.52392,0.55148,0.63152,0.71008,0.49329,0.43988,0.41022,0.3397,0.35097,0.22346,0.16706,0.11539,0.066705,0,0.029333,0.25004,0.96749,1,0.79655,0.40617,0.82326,0.56078,0.30308,0.64652,0.62616,0.80483,0.34939,0.29787,0.52535,0.99633,0.57308,0.76227,0.065624,0.27302,0,1
1,0.92086,0.78045,0.76474,0.79315,0.69354,0.63241,0.6731,0.61419,0.26601,0.30846,0.28415,0.21154,0.24305,0.051015,0.056906,0,0.041677,0.040841,0.11558,0.92395,0.23376,0,0.15399,0.27557,0.0051446,0.14484,0.6694,0.55084,0.67249,0.59241,0.8272,0.68467,1,0.46305,0.72112,0.57853,0.52477,0.59145,0.35617,1
0.41689,0.98877,1,0.83901,0.81899,0.94864,0.73003,0.88063,0.8329,0.38763,0.34532,0.31623,0.32584,0.27739,0.12101,0.12644,0.079531,0.032306,0,0.00225,0.21127,0.30765,0.6564,0.78299,0.060949,0,0.75955,0.16818,0.32195,0.76951,0.83039,1,0.86778,0.56933,0.38654,0.31156,0.49789,0.23086,0.44382,0.087654,1
0.365,0.48051,0.91806,0.99819,0.57845,0.8108,1,0.89873,0.38482,0.43957,0.4604,0.58194,0.52435,0.33031,0.2691,0.1612,0.11761,0.094363,0.066094,0,0.20223,0,0.36977,0.69845,0.31255,0.79448,1,0.82267,0.49138,0.86469,0.57019,0.82988,0.85849,0.61163,0.52084,0.59993,0.48553,0.64651,0.50528,0.51089,1
0.49153,0.71201,0.98547,1,0.50907,0.4776,0.47865,0.2996,0.33766,0.24266,0.17589,0.16771,0.24078,0.1886,0.11893,0.1175,0.12673,0.082434,0.020272,0,0.81127,0.28179,0,0.41179,1,0.10337,0.4431,0.50001,0.39728,0.1322,0.2866,0.14149,0.62607,0.71378,0.72312,0.4211,0.0079278,0.29512,0.1538,0.45859,1
1,0.91185,0.71333,0.67623,0.61048,0.52498,0.47262,0.44332,0.40116,0.19821,0.23094,0.22222,0.2004,0.1817,0.089872,0.066628,0.070135,0.048605,0.035849,0,0,0.58207,0.87995,0.7782,0.63412,1,0.95077,0.41563,0.3621,0.54315,0.49182,0.44184,0.36859,0.3975,0.38126,0.41411,0.29199,0.32487,0.43565,0.78056,1
0.45613,0.96837,1,0.82563,0.7607,0.88487,0.67878,0.94903,0.94592,0.36374,0.33289,0.24175,0.20684,0.19464,0.1395,0.19416,0.095141,0.043726,0,0.00012403,0.49211,0.29837,0.21518,0.61108,0.71215,0.28858,0.054376,0.22944,0.20077,0.49786,0.16871,0.68454,0.76874,0.65277,0.5856,0.3324,0.34189,0.25165,0,1,1
0.40516,0.74777,0.99777,0.95861,0.45857,1,0.93602,0.66007,0.79416,0.62295,0.6955,0.70022,0.48397,0.49203,0.24966,0.19039,0.15929,0.13173,0.10762,0,0.57304,0.6519,0.3096,0.17462,1,0.23442,0.18466,0.67969,0.5254,0.27558,0.0044402,0,0.48279,0.11344,0.54745,0.63587,0.21682,0.42175,0.22236,0.15452,1
